,Amitabh Bachchan,Madhuri Dixit,Gulshan Grover,Rekha,Hrithik Roshan,Kajol,Dharmendra,Sridevi,Juhi Chawla,Hema Malini,Sanjay Dutt,Kareena Kapoor,Karisma Kapoor,Preity G Zinta,Jackie Shroff,Salman Khan,Twinkle Khanna,Tabu,Shakti Kapoor,Urmila Matondkar,Nana Patekar,Sonali Bendre,Fardeen Khan,Aftab Shivdasani,Tinnu Anand,Raj Babbar,Aruna Irani,Abhishek Bachchan,Mohnish Behl,Manoj Bajpayee,Bipasha Basu,Jaya Bachchan,Bhagyashree Patwardhan,Jaspal Bhatti,Rahul Bose,Mithun Chakraborty,Mahima Chaudhry,Bhoomika Chawla,Randhir Kapoor,Nandita Das,Danny Denzongpa,Bobby Deol,Esha Deol,Sunny Deol,Mukul Dev,Rahul Dev,Prabhu Deva,Ajay Devgn,Poonam Dhillon,Avtar Gill,Vikram Gokhale,Govinda,Milind Gunaji,Kamal Haasan,Vrajesh Hirjee,Randeep Hooda,Jaaved Jaaferi,Farida Jalal,Jaya Prada,Jeetendra,Sharman Joshi,Kader Khan,Dimple Kapadia,Anil Kapoor,Annu Kapoor,Rajat Kapoor,Rishi Kapoor,Supriya Karnik,Kunal Kemmu,Aamir Khan,Arbaaz Khan,Arshad Warsi,Feroz Khan,Irrfan Khan,Saif Ali Khan,Shah Rukh Khan,Sohail Khan,Akshaye Khanna,Mukesh Khanna,Vinod Khanna,Kulbhushan Kharbanda,Sachin Khedekar,Anupam Kher,Manisha Koirala,Isha Koppikar,Atul Kulkarni,Akshay Kumar,Johny Lever,Madhavan,Pawan Malhotra,Sanjay Mishra,Rani Mukerji,Govind Namdeo,Nassar,Neelam Kothari,Manoj Pahwa,Chunky Pandey,Ameesha Patel,Vinay Pathak,Prakash Raj,Amrish Puri,Om Puri,Vijay Raaz,Aishwarya Rai Bachchan,Rajinikanth,Paresh Rawal,Fatima Sana Shaikh,Raima Sen,Sushmita Sen,Naseeruddin Shah,Farooq Shaikh,Kim Sharma,Rajesh Sharma,Jimmy Shergill,Shilpa Shetty Kundra,Suniel Shetty,Saurabh Shukla,Chandrachur Singh,Neetu Singh,Raveena Tandon,Mukesh Tiwari,Ashish Vidyarthi,Gracy Singh,Tusshar Kapoor,Arjun Rampal,Aashish Chaudhary,Yashpal Sharma,Alia Bhatt,Farhan Akhtar,Rajpal Naurang Yadav,Vivek Oberoi,Lara Dutta,Dia Mirza,Riya Sen,Amrita Arora,Aarti Chhabria,Amrita Rao,Sameera Reddy,Boman Irani,Neha Dhupia,Katrina Kaif,Priyanka Chopra Jonas,Konkona Sen Sharma,Koena Mitra,Ranvir Shorey,Manoj Joshi,Rimi Sen,Samir Soni,Uday Tikekar,Sunny Leone,Riteish Deshmukh,Genelia Deshmukh,Zayed Khan,John Abraham,Mallika Sherawat,Shriya Saran,Shahid Kapoor,Celina Jaitly,Sonu Sood,Imran Khan,Emraan Hashmi,Vipin Sharma,Gul Panag,Iqbal Khan,Nayanthara,Raju Srivastava,Kunal Kapoor,Nawazuddin Siddiqui,Shruti Haasan,Ranbir Kapoor,Karishma Tanna,Prabhas,Shreyas Talpade,Soha Ali Khan,Chitrangda Singh,Neil Nitin Mukesh,Ayesha Takia,Vidya Balan,Ashwini Kalsekar,Arjun Kapoor,Asin Thottumkal,Upendra Limaye,Sneha Ullal,Vatsal Sheth,Sophiya Chaudhary,Abhay Deol,Tanushree Dutta,Nimrat Kaur,Kay Kay Menon,Tamannaah Bhatia,Manjari Fadnnis,Minissha Lamba,Sonam Kapoor,Deepika Padukone,Kangana Ranaut,Govardhan Asrani,Sunny Singh,Daisy Shah,Krishna Abhishek,Ileana D'Cruz,Radhika Apte,Aditi Rao Hydari,Nushrratt Bharuccha,Kajal Aggarwal,Jacqueline Fernandez,Pankaj Tripathi,Fawad Khan,Mahie Gill,Bruna Abdullah,Prateik Patil Babbar,Anushka Sharma,Adah Sharma,Aditya Roy Kapoor,Richa Chadha,Kalki Koechlin,Nivetha Thomas,Sidharth Malhotra,Varun Dhawan,Amy Jackson,Esha Gupta,Sudesh Lehri,Sana Khan,Shraddha Kapoor,Samantha Ruth Prabhu,Lisa Haydon,Nargis Fakhri,Kriti Kharbanda,Kainaat Arora,Zareen Khan,Tahir Raj Bhasin,Sushant Singh Rajput,Rajkummar Rao,Ranveer Singh,Sonakshi Sinha,Taapsee Pannu,Sunny Kaushal,Anil Charanjeett,Yami Gautam,Kartik Aaryan,Parineeti Chopra,Sonalee Kulkarni,Vidyut Jammwal,Mouni Roy,Saqib Saleem,Freddy Daruwala,Ayushmann Khurrana,Huma Qureshi,Pulkit Samrat,Lavanya Tripathi,Pooja Hegde,Kriti Sanon,Vikrant Massey,Rhea Chakraborty,Amyra Dastur,Vaani Kapoor,Vicky Kaushal,Urvashi Rautela,Tiger Shroff,Kapil Sharma,Bhumi Pednekar,Kiara Advani,Nora Fatehi,Shriya Pilgaonkar,Mrunal Thakur,Athiya Shetty,Sanya Malhotra,Alaya F,Disha Patani,Sobhita Dhulipala,Siddhant Chaturvedi,Mehreen Pirzada,Nidhhi Agerwal,Rashmika Mandanna,Sara Ali Khan,Janhvi Kapoor
Arbaaz Khan,2,0,4,0,0,1,1,0,1,0,4,2,1,0,6,11,0,1,6,0,1,0,1,2,3,1,0,2,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,2,2,3,1,2,0,1,3,1,1,0,0,1,0,1,0,0,2,0,2,0,0,2,1,0,2,1,0,4,0,0,1,0,10,1,0,3,2,1,3,1,3,0,1,7,0,1,0,1,4,0,0,3,3,0,0,1,3,5,2,1,0,6,0,1,2,3,0,2,2,3,1,5,0,1,0,3,1,1,1,2,0,1,0,1,0,6,3,2,5,2,2,1,0,2,2,3,3,1,0,0,0,6,0,1,0,1,2,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,5,1,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arshad Warsi,3,2,3,1,0,0,0,1,2,0,10,3,2,2,4,2,0,2,9,0,1,0,0,2,5,2,0,2,1,1,1,0,0,2,0,2,2,0,0,0,1,1,0,2,3,1,0,9,0,0,0,0,1,0,7,0,5,0,0,1,2,2,0,6,0,1,0,1,5,0,4,0,0,4,1,0,1,2,1,0,1,3,3,1,1,0,6,9,0,2,10,0,3,0,0,5,1,1,0,3,3,1,7,0,0,7,2,0,2,5,0,0,2,2,0,6,4,3,0,1,7,3,1,7,1,3,1,0,0,5,1,0,3,1,2,2,3,0,9,1,1,0,0,0,1,5,1,0,2,0,4,0,0,3,2,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,6,1,1,1,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0,0,1,1,2,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Feroz Khan,0,1,1,6,0,0,3,1,0,2,1,0,0,0,0,0,0,0,4,0,1,0,3,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irrfan Khan,1,1,3,0,0,1,2,0,2,0,3,2,0,0,2,0,1,6,0,2,1,0,1,3,4,1,2,0,0,3,3,0,0,0,1,0,3,1,0,1,2,2,1,2,0,3,0,2,0,2,1,0,1,0,5,0,0,0,0,0,1,0,2,2,1,5,2,2,0,0,0,4,0,0,0,1,0,1,4,0,5,2,2,1,1,1,2,2,3,1,9,0,3,1,0,3,0,0,2,1,1,10,1,1,0,4,0,1,0,6,2,0,3,5,1,4,4,0,0,2,5,1,0,2,2,0,5,0,0,6,0,2,3,0,0,0,0,1,1,3,1,5,9,0,5,3,1,1,0,0,1,0,0,2,2,0,1,1,0,0,3,3,1,0,0,0,1,6,1,0,0,0,0,4,1,2,2,2,0,1,0,0,0,1,1,1,1,1,7,0,0,0,1,3,2,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saif Ali Khan,3,1,5,2,2,5,0,0,0,1,4,8,3,5,1,3,3,4,7,1,1,5,2,3,1,3,3,4,4,2,6,1,1,0,0,1,1,0,0,0,1,1,2,3,0,1,0,5,0,7,0,2,3,0,2,1,4,2,0,0,0,5,6,4,2,3,3,1,2,3,1,1,0,0,0,2,1,3,4,1,1,0,6,1,3,0,7,5,2,1,3,7,2,0,3,3,4,2,2,1,2,2,1,0,0,3,0,2,1,2,0,1,1,4,3,6,2,1,1,4,2,1,0,2,0,0,4,0,1,3,3,0,3,0,0,0,0,2,4,1,2,0,1,0,2,1,0,0,1,1,1,0,0,3,0,0,1,0,1,1,2,1,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,2,2,2,0,0,0,1,0,0,0,0,1,1,1,0,1,4,1,3,1,1,0,1,4,0,0,0,2,4,0,1,0,2,0,0,0,0,2,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,2,1,0,3,0,0,1,3,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,1,1
Shah Rukh Khan,8,6,3,0,3,12,0,2,13,3,3,8,2,7,6,9,1,3,2,1,2,3,2,1,9,1,2,4,5,1,3,2,1,1,2,1,1,1,1,0,2,2,1,2,0,2,2,2,0,4,1,1,2,1,0,0,2,9,0,3,0,1,3,1,1,1,2,0,0,2,0,0,0,1,2,0,1,0,2,1,1,1,14,2,2,2,3,16,2,5,7,13,1,1,1,2,2,1,4,1,8,8,2,6,1,5,1,0,3,7,1,1,0,4,1,2,3,1,1,2,4,2,0,1,6,1,2,3,3,4,2,5,2,2,1,1,3,0,11,1,2,5,0,1,1,4,0,0,2,2,3,0,1,4,0,0,2,2,1,1,2,0,0,0,1,1,2,3,1,4,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,3,0,0,2,0,7,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,1,0,0,0,1,3,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Sohail Khan,2,0,0,0,0,1,1,0,1,0,2,1,0,2,4,17,0,1,1,0,1,0,1,1,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,1,0,2,1,1,1,1,0,1,1,3,0,0,4,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,10,1,0,0,1,1,0,1,0,0,3,0,1,0,6,0,0,1,0,0,1,1,1,0,0,3,1,0,1,0,0,1,0,0,0,2,0,0,2,1,0,0,1,0,1,4,1,0,0,0,1,0,0,1,0,1,1,1,0,6,1,3,2,1,5,2,0,2,2,3,4,2,0,0,1,1,0,0,0,0,3,2,1,2,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Akshaye Khanna,1,2,2,0,0,0,0,1,1,1,4,3,0,1,3,3,1,3,5,3,0,2,0,2,1,1,2,1,2,1,2,0,0,1,0,0,1,1,1,0,2,2,1,1,0,1,0,5,0,2,0,2,1,0,1,1,0,2,0,0,0,2,2,6,1,3,1,1,0,1,1,2,0,1,3,0,1,0,0,1,1,1,4,1,3,0,2,7,0,0,1,1,1,0,1,2,1,2,1,0,4,1,3,2,0,10,0,0,1,1,1,0,0,0,1,7,5,0,0,2,2,2,0,0,0,0,1,0,1,4,0,0,0,1,0,0,2,3,2,0,2,3,1,0,1,4,1,1,0,0,0,1,0,2,1,4,2,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mukesh Khanna,1,1,15,0,0,1,16,1,4,0,6,1,4,0,7,3,2,3,13,0,1,1,1,1,4,6,3,0,2,1,0,0,0,1,0,4,1,0,0,0,3,1,0,3,2,1,0,2,1,6,0,1,2,0,1,1,3,3,7,1,0,11,2,0,1,0,1,0,1,1,0,1,1,4,4,2,0,0,0,2,3,0,5,4,0,0,12,13,0,0,5,0,2,0,0,1,2,0,1,1,6,3,1,0,2,6,0,0,0,2,0,0,0,0,3,3,1,0,0,2,1,0,0,1,1,0,2,1,0,2,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,2,0,0,2,0,1,0,3,1,3,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
Vinod Khanna,9,2,8,11,0,2,11,4,3,12,5,1,1,0,2,6,0,0,12,0,0,0,0,2,4,5,12,1,2,0,1,1,1,0,0,0,0,0,4,0,7,2,1,1,0,1,1,1,4,5,2,2,0,0,0,1,0,3,3,7,0,11,8,0,1,0,5,0,1,1,3,0,3,0,1,1,0,1,2,0,2,1,11,1,0,0,0,9,0,0,1,0,2,1,2,2,1,1,0,2,12,3,0,0,3,4,0,0,0,2,1,1,0,0,1,3,0,0,8,4,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kulbhushan Kharbanda,9,3,24,7,1,3,10,6,5,3,7,4,3,2,11,2,1,7,28,8,3,3,0,2,10,12,18,4,8,1,0,1,1,2,1,6,2,0,2,2,11,5,0,13,1,2,0,6,6,18,2,5,2,1,3,4,4,9,3,2,0,10,4,6,8,2,9,1,1,7,2,1,1,5,1,1,3,1,3,2,0,2,15,4,2,1,6,14,0,3,4,2,5,1,4,2,3,1,5,0,25,30,3,3,4,17,0,1,0,17,3,0,3,4,3,13,1,2,1,6,7,8,3,0,1,3,4,0,1,6,1,1,3,1,2,1,0,0,1,2,0,0,0,0,2,3,1,2,2,0,1,0,1,1,0,2,1,0,2,1,1,3,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sachin Khedekar,3,0,4,2,3,1,1,0,1,1,9,1,0,1,4,4,2,4,7,0,2,0,0,0,2,3,0,2,2,4,2,0,1,2,0,3,5,2,0,1,0,4,0,5,0,2,0,3,1,4,5,0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1,0,1,0,1,3,0,2,0,1,0,1,0,1,2,0,8,1,1,3,3,5,2,2,5,2,4,5,0,2,1,0,2,5,1,5,3,2,0,3,1,1,1,1,0,1,2,4,3,3,4,1,0,4,3,7,0,1,1,0,2,0,0,4,3,0,1,1,1,0,0,0,3,2,2,3,0,0,3,7,0,0,4,0,0,0,0,1,2,2,0,0,2,0,1,1,1,0,0,3,0,3,2,1,0,1,4,3,0,2,0,3,4,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,1,2,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1
Anupam Kher,16,23,35,9,1,4,13,17,13,10,23,5,6,3,28,19,3,6,57,5,4,4,3,8,15,16,29,7,15,11,1,3,0,3,3,16,5,2,2,2,10,5,2,20,5,3,3,4,6,33,10,25,3,0,8,0,5,18,9,11,3,42,17,28,18,4,14,2,0,4,3,3,2,2,6,14,1,4,5,11,15,8,0,7,1,5,21,36,2,6,10,6,13,2,10,6,18,5,3,4,28,16,5,6,6,36,3,2,4,16,2,1,6,11,3,14,6,2,1,15,7,11,2,6,1,2,6,0,1,18,0,0,5,2,3,3,5,0,9,7,2,4,3,2,4,7,2,2,2,1,6,1,1,2,2,3,6,4,4,2,1,5,0,0,1,1,3,1,0,2,0,0,2,2,2,3,2,2,1,1,0,0,2,0,2,0,1,0,6,0,3,2,2,2,3,31,0,1,1,1,0,0,0,1,2,2,0,3,1,0,2,1,2,2,1,1,1,3,0,2,0,1,1,0,1,2,0,0,0,0,1,1,0,1,4,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Manisha Koirala,2,1,14,1,0,1,1,0,1,0,7,0,1,1,15,3,0,0,8,3,3,2,1,2,9,6,3,0,2,0,0,0,0,3,1,1,1,0,0,1,4,1,0,4,0,1,1,6,0,5,2,3,2,3,0,0,1,5,1,0,1,5,1,4,3,1,3,0,0,2,1,1,1,1,1,2,0,1,4,1,4,1,7,0,1,0,1,8,0,0,2,2,5,4,0,0,4,0,0,2,6,2,3,0,2,7,0,1,3,3,0,1,0,0,1,1,3,0,0,3,0,3,0,0,1,0,3,0,0,3,1,0,1,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isha Koppikar,3,0,3,0,1,1,0,0,2,0,4,3,1,1,0,3,0,1,3,3,1,0,1,2,2,3,0,2,1,4,4,1,0,1,0,1,1,0,0,0,0,0,2,2,0,2,0,3,0,2,0,2,1,0,4,2,1,1,0,0,1,0,0,2,0,0,1,1,0,0,3,1,0,1,3,2,6,3,0,0,2,1,1,1,0,0,0,4,0,1,1,3,2,2,0,2,4,0,1,1,0,1,1,1,0,2,0,0,2,0,0,0,0,1,1,7,1,1,0,3,2,1,0,1,4,2,1,0,1,6,2,1,1,1,3,0,0,1,3,2,2,3,1,0,0,1,0,0,0,0,3,1,0,1,1,1,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atul Kulkarni,3,0,2,0,0,1,0,0,1,1,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,2,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,4,0,0,3,0,5,1,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,2,0,0,0,1,0,2,0,0,0,0,1,3,5,0,0,0,2,0,3,2,1,1,5,3,0,1,0,0,1,3,0,8,2,2,0,0,0,1,0,5,0,0,1,0,0,0,1,1,0,1,0,2,0,1,0,0,4,0,1,3,1,1,2,0,0,0,0,0,1,3,0,1,2,0,1,4,1,0,3,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,3,1,0,0,0,3,2,0,1,0,1,4,0,0,3,0,0,0,1,0,1,3,3,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akshay Kumar,8,2,17,1,1,1,3,1,4,1,10,14,11,3,7,5,7,2,15,1,3,5,2,5,8,5,9,3,10,5,5,0,2,2,0,7,2,1,4,0,5,7,1,3,0,7,5,9,1,15,3,4,5,0,4,0,6,4,3,0,1,11,3,5,5,1,3,7,2,1,1,6,1,2,7,3,0,2,12,0,6,3,21,1,0,2,0,27,2,4,9,2,4,2,0,5,7,3,2,3,12,11,4,2,1,24,0,0,2,3,0,0,4,2,5,18,1,2,0,7,3,4,0,5,3,0,4,1,1,14,1,12,2,1,5,4,1,1,8,6,8,4,0,2,3,13,4,0,4,2,8,0,1,7,3,0,3,2,4,2,2,2,0,0,0,0,1,4,1,0,1,0,7,1,4,0,1,6,6,0,2,0,0,0,2,0,1,2,3,1,0,2,3,4,0,14,0,2,2,1,1,1,2,1,8,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,1,2,1,0,2,2,2,1,1,0,1,0,4,11,4,1,4,2,2,4,0,1,1,1,1,1,2,0,1,2,3,0,0,0,2,0,0,2,1,3,3,2,0,1,0,0,1,1,0,0,0,0,1,3,1
Johny Lever,7,11,31,5,5,8,19,5,11,3,12,7,12,5,16,16,8,6,50,10,4,7,6,9,19,11,25,4,13,2,5,2,0,2,0,31,3,0,2,0,11,12,2,15,6,4,2,12,3,24,2,29,2,1,11,0,8,21,4,9,1,37,4,15,6,0,7,4,5,4,7,9,1,2,5,16,1,7,13,9,14,5,36,8,4,0,27,0,0,2,18,10,11,2,6,5,12,2,0,3,21,16,5,2,2,36,0,0,6,4,2,2,1,2,8,16,5,4,0,8,12,8,1,5,1,1,1,0,0,20,2,1,2,2,2,3,1,3,6,4,2,3,0,0,0,11,2,1,3,0,7,0,0,2,1,0,4,2,2,0,0,0,0,1,0,6,0,1,0,0,0,0,6,1,0,2,1,0,7,0,2,0,1,1,1,0,1,0,1,1,0,0,1,1,0,32,0,0,3,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,1,0,2,1,1,0,0,0,1,3,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Madhavan,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,2,1,2,2,1,1,0,1,1,0,1,0,1,0,0,1,2,2,1,0,5,1,0,0,1,1,4,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,3,2,2,0,0,0,0,0,2,2,0,0,3,2,0,0,2,3,1,1,5,0,2,0,0,1,3,0,6,0,1,0,1,0,2,0,1,0,0,1,5,0,0,1,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,2,1,0,1,0,1,2,0,2,2,1,1,0,0,3,1,0,0,0,0,2,1,0,1,0,1,0,1,2,1,0,0,0,1,3,0,1,0,3,2,0,0,0,0,0,1,1,0,0,5,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pawan Malhotra,1,0,1,1,1,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,3,1,0,1,1,1,2,1,0,1,0,2,1,1,0,0,1,1,0,0,2,2,2,0,2,0,5,4,1,1,0,0,0,3,1,0,0,0,1,0,1,0,2,1,0,0,2,1,2,0,1,1,5,0,0,0,0,3,2,6,0,1,2,4,2,2,0,1,1,0,0,0,3,1,0,3,1,1,10,4,0,0,3,0,1,0,3,2,0,1,3,0,0,5,1,0,0,2,1,0,1,1,0,2,0,2,1,0,0,0,0,1,0,2,0,1,2,1,2,1,0,2,3,1,0,2,1,1,0,0,2,1,0,2,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,1,2,0,1,0,1,1,0,0,1,2,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,2,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
